USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
11330,99999,LAKSFORS,NO,,,65.617,13.283,50,20111129,20250824
11350,99999,SELJELIA,NO,,,66.117,13.583,123,20111129,20250824
11390,99999,VAEROY HELIPORT,NO,,ENVR,67.65,12.717,4,20110928,20250824
11410,99999,LEKNES,NO,,ENLK,68.15,13.617,26,19730620,20250824
11430,99999,DRAG-AJLUOKTA,NO,,,68.05,16.083,19,20070806,20250824
11440,99999,HELLIGVAER II,NO,,,67.4,13.883,24,20050315,20250824
11460,99999,SKAMDAL,NO,,,66.233,13.883,5,19730101,20250824
11470,99999,VARNTRESK,NO,,,65.833,14.183,406,19400907,20250824
11480,99999,STORFORSHEI,NO,,,66.383,14.517,110,20110616,20250824
11500,99999,HJARTASEN,NO,,,66.5,14.95,251,19730103,20250824
11510,99999,MOIRANA,NO,,ENRA,66.367,14.3,70,19730401,20250824
11520,99999,BODO,NO,,ENBO,67.269,14.365,12.8,19400917,20250824
11560,99999,BO I VESTERALEN,NO,,,68.6,14.433,7.6,20040510,20250824
11580,99999,SETSA,NO,,,67.167,15.483,8,20100114,20250824
11600,99999,SKROVA FYR,NO,,,68.15,14.65,11,19730101,20250824
11610,99999,SVOLVAER/HELLE,NO,,ENSH,68.25,14.667,9,19730620,20250824
11620,99999,STORKMARKNES/SKAGEN,NO,,ENSK,68.583,15.017,3,19730620,20250824
11690,99999,SALTDAL-NORDNES,NO,,,66.933,15.317,37,19830101,20250824
11800,99999,HARSTAD,NO,,,68.8,16.533,45,20040510,20250824
11830,99999,EVENES / HARSTAD NARVIK,NO,,ENEV,68.491,16.678,25.6,19750905,20250824
11920,99999,STRAUMSNES,NO,,,68.417,17.65,200,20110203,20250824
11980,99999,DIVIDALEN II,NO,,,68.783,19.7,204,20100114,20250824
11990,99999,SIHCCAJAVRI,NO,,,68.75,23.533,382,19490101,20250824
12030,99999,KRAKENES,NO,,,62.033,4.983,41,19310904,20250824
12050,99999,SVINOY LH,NO,,,62.333,5.267,37.2,19730101,20250824
12090,99999,ORSTA-VOLDA/HOVDEN,NO,,ENOV,62.183,6.067,74,19841211,20250824
12100,99999,VIGRA / ALESUND,NO,,ENAL,62.56,6.11,21,19730101,20250824
12120,99999,ONA II,NO,,,62.867,6.533,15,19550101,20250818
12140,99999,REKDAL,NO,,,62.65,6.767,43,20090112,20250824
12170,99999,ARO,NO,,ENML,62.745,7.263,3,19760201,20250824
12180,99999,TAFJORD,NO,,,62.233,7.417,17,19730101,20250824
12200,99999,MANNEN,NO,,,62.45,7.767,1294,20100315,20250822
12210,99999,TAGDALEN,NO,,,63.05,9.083,415,20080115,20250824
12230,99999,KVERNBERGET,NO,,ENKB,63.112,7.825,62.2,19730101,20250824
12240,99999,AALESUND,NO,,,62.467,6.217,50,19841201,20250616
12250,99999,VEIHOLMEN,NO,,,63.517,7.95,5,19730101,20250824
12270,99999,INNERDALEN,NO,,,62.717,8.783,405,19730101,20250824
12280,99999,SULA,NO,,,63.85,8.467,6,19730101,20250824
12300,99999,BJORLI,NO,,,62.267,8.2,579,19730101,20250824
